model_name,method,gpu_model,tokens_per_sample,batch_size,number_gpus,number_nodes
mistral-7b-v0.1,lora,NVIDIA-A100-SXM4-80GB,2048,8,4,1
granite-3.3-8b,full,NVIDIA-H100-PCIe,1024,4,8,1
granite-3-8b,lora,NVIDIA-A100-80GB-PCIe,2048,16,2,1
llama3.2-3b,full,L40S,512,8,1,1
granite-3.1-2b,lora,NVIDIA-A100-SXM4-80GB,4096,4,2,1
granite-3.1-8b-instruct,gptq-lora,NVIDIA-H100-PCIe,2048,8,4,1
mistral-7b-v0.1,full,NVIDIA-A100-80GB-PCIe,1024,2,8,1
granite-3.3-8b,lora,NVIDIA-A100-SXM4-80GB,2048,16,4,1
llama3.2-3b,lora,NVIDIA-H100-PCIe,4096,8,2,1
granite-3-8b,full,NVIDIA-A100-SXM4-80GB,1024,4,8,1
granite-3.1-2b,gptq-lora,L40S,1024,8,1,1
granite-3.1-8b-instruct,lora,NVIDIA-A100-80GB-PCIe,2048,8,4,1
mistral-7b-v0.1,lora,NVIDIA-H100-PCIe,2048,16,2,1
granite-3.3-8b,gptq-lora,NVIDIA-A100-SXM4-80GB,4096,4,8,1
llama3.2-3b,full,NVIDIA-A100-80GB-PCIe,512,8,4,1
granite-3.1-2b,lora,NVIDIA-H100-PCIe,2048,8,2,1
