model_name,method,gpu_model,tokens_per_sample,batch_size,number_gpus,number_nodes,measured_throughput,measured_total_time
granite-3-8b,full,NVIDIA-H100-PCIe,512,2,2,1,4045.32,494.4
granite-3-8b,full,NVIDIA-H100-PCIe,512,2,4,1,6881.0,290.66
granite-3-8b,full,NVIDIA-H100-PCIe,512,4,1,1,3450.37,579.65
granite-3-8b,full,NVIDIA-H100-PCIe,1024,4,2,1,5869.73,340.73
granite-3-8b,full,NVIDIA-H100-PCIe,1024,8,4,1,12913.87,154.87
granite-3-8b,full,NVIDIA-H100-PCIe,2048,2,8,1,19874.49,100.63
granite-3-8b,full,NVIDIA-H100-PCIe,2048,8,8,1,25665.79,77.92
granite-3-8b,lora,NVIDIA-H100-PCIe,256,1,4,1,14446.45,138.44
granite-3-8b,lora,NVIDIA-H100-PCIe,256,4,4,1,15391.86,129.94
granite-3-8b,lora,NVIDIA-H100-PCIe,512,2,8,1,28365.2,70.51
granite-3-8b,lora,NVIDIA-H100-PCIe,512,8,2,1,8282.12,241.48
granite-3-8b,lora,NVIDIA-H100-PCIe,512,8,4,1,16195.28,123.49
granite-3-8b,lora,NVIDIA-H100-PCIe,1024,2,1,1,4021.04,497.38
granite-3-8b,lora,NVIDIA-H100-PCIe,1024,4,4,1,15030.54,133.06
granite-3-8b,lora,NVIDIA-H100-PCIe,1024,16,4,1,16000.98,124.99
granite-3-8b,lora,NVIDIA-H100-PCIe,2048,1,8,1,26852.87,74.48
granite-3-8b,lora,NVIDIA-H100-PCIe,2048,2,4,1,14484.3,138.08
granite-3-8b,lora,NVIDIA-H100-PCIe,2048,4,4,1,15016.48,133.19
granite-3.3-8b,full,NVIDIA-A100-SXM4-80GB,256,1,8,1,7393.72,270.5
granite-3.3-8b,full,NVIDIA-A100-SXM4-80GB,256,4,4,1,7292.23,274.26
granite-3.3-8b,full,NVIDIA-A100-SXM4-80GB,256,8,4,1,8379.32,238.68
granite-3.3-8b,full,NVIDIA-A100-SXM4-80GB,512,2,2,1,3748.78,533.51
granite-3.3-8b,full,NVIDIA-A100-SXM4-80GB,512,16,2,1,5184.47,385.77
